DATE,SALES,COST_OF_SALES,QUANTITY_SOLD,PRICE_PER_UNIT,GROSS_PROFIT,GROSS_PROFIT_PERCENT,GROSS_PROFIT_PER_UNIT,TOTAL_REVENUE,AVG_UNIT_SALES_PRICE,SALES_STATUS,PROMOTION_PERIOD,LOSS_STATUS
10/7/2015,125983.15180,127884.58720,3195,39,-1901,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/7/2016,39809.55909,34091.56966,946,42,5718,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/8/2014,195866.77300,203331.43480,6032,32,-7465,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/8/2015,69968.07770,72665.72553,1812,39,-2698,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/8/2016,146811.45510,155135.62910,4282,34,-8324,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
10/9/2014,78736.40284,77071.54271,2247,35,1665,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/9/2015,48406.78715,45316.54273,1232,39,3090,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
10/9/2016,85070.23489,76591.85292,2108,40,8478,0,4,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/1/2014,146571.48240,143179.67000,4297,34,3392,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/1/2015,69597.36735,71051.36350,1690,41,-1454,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/1/2016,121373.06820,112550.43230,2949,41,8823,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/10/2014,138038.23980,131192.31680,3758,37,6846,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/10/2015,57413.41048,55617.58464,1456,39,1796,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/10/2016,36113.93487,31885.28845,896,40,4229,0,5,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/11/2014,56303.36657,54996.86661,1497,38,1306,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/11/2015,147893.94150,161665.60060,4216,35,-13772,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/11/2016,160938.60160,152555.41730,3748,43,8383,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/12/2014,158603.35700,171692.99360,4157,38,-13090,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/12/2015,229672.25630,237672.01640,6227,37,-8000,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/2/2014,135498.74640,139824.16160,4172,32,-4325,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/2/2015,162162.10350,173661.82780,4299,38,-11500,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/2/2016,64034.94046,55491.33853,1525,42,8544,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/3/2014,187143.01810,191499.04280,5737,33,-4356,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/3/2015,57063.98412,56638.28137,1386,41,426,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/3/2016,77997.04501,73051.67554,1855,42,4945,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/4/2014,318949.81710,326322.52600,9573,33,-7373,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/4/2015,126507.80090,126043.76920,3072,41,464,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/4/2016,131170.59690,142022.81260,3713,35,-10852,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/5/2014,200407.27710,215907.82490,6173,32,-15501,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/5/2015,198442.91270,213676.42840,5257,38,-15234,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/5/2016,35014.39948,30393.74012,832,42,4621,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/6/2014,174324.99480,180978.60100,5429,32,-6654,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/6/2015,68988.34667,66539.16520,1642,42,2449,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/6/2016,293917.85250,311853.52050,8577,34,-17936,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/7/2014,134018.08930,130633.26270,3825,35,3385,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/7/2015,142378.18400,143924.56510,3595,40,-1546,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/7/2016,45839.23877,39231.19537,1090,42,6608,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/8/2014,232347.35320,241134.52780,7158,32,-8787,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/8/2015,60187.14905,62538.49328,1563,39,-2351,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/8/2016,99867.32962,103826.70140,2867,35,-3959,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
11/9/2014,70875.11067,69489.36085,2023,35,1386,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/9/2015,85940.02694,81559.84562,2194,39,4380,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
11/9/2016,48831.66611,44014.23202,1211,40,4817,0,4,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/1/2014,95422.37298,93126.14724,2796,34,2296,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/1/2015,84738.29441,86467.53775,2058,41,-1729,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/1/2016,99445.55710,92226.51810,2417,41,7219,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/10/2014,61037.56223,57992.34151,1661,37,3045,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/10/2015,57749.13694,55933.00858,1465,39,1816,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/10/2016,31023.35977,27817.64247,768,40,3206,0,4,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/11/2014,49436.81586,48289.89228,1314,38,1147,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/11/2015,140238.39050,153481.45340,4000,35,-13243,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/11/2016,164998.84460,156263.14950,3843,43,8736,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/12/2014,279092.09600,301236.10990,7259,38,-22144,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/12/2015,333488.79790,359621.07490,9422,35,-26132,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/2/2014,163432.84520,166893.36890,5037,32,-3461,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/2/2015,138520.12680,147756.34280,3674,38,-9236,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/2/2016,148839.97490,129583.49210,3542,42,19256,0,5,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/3/2014,191700.38910,197153.42400,5903,32,-5453,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/3/2015,48008.48284,47681.67208,1166,41,327,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/3/2016,79752.28268,74962.81640,1897,42,4789,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/4/2014,375031.10930,383727.19400,11250,33,-8696,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/4/2015,79648.62939,79349.40245,1934,41,299,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/4/2016,123179.48940,132714.96020,3504,35,-9535,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/5/2014,183413.70830,197835.49510,5653,32,-14422,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/5/2015,193182.15060,208039.17340,5118,38,-14857,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/5/2016,27210.40663,23570.15916,647,42,3640,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/6/2014,200271.56430,207757.70300,6232,32,-7486,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/6/2015,155156.87920,149423.24360,3690,42,5734,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/6/2016,138350.12180,143346.67460,3943,35,-4997,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/7/2014,99277.29950,96688.49781,2833,35,2589,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/7/2015,57427.68071,58723.04053,1467,39,-1295,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/7/2016,36851.76375,31574.32547,876,42,5277,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/8/2014,190325.18110,197438.11160,5863,32,-7113,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/8/2015,44698.70075,46849.56715,1171,38,-2151,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/8/2016,210664.86280,220379.27670,6082,35,-9714,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
12/9/2014,148634.39140,145956.13970,4242,35,2678,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/9/2015,57381.75145,54340.89151,1469,39,3041,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
12/9/2016,52075.15718,46884.14251,1291,40,5191,0,4,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/1/2014,114883.17380,112186.30870,3369,34,2697,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/1/2015,64653.97214,65980.42209,1570,41,-1326,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/1/2016,67587.54693,62760.35683,1644,41,4827,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/10/2014,86799.75945,82392.33326,2360,37,4407,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/10/2015,40140.82003,38881.08844,1018,39,1260,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/10/2016,22334.21253,19704.09315,521,43,2630,0,5,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/11/2014,55033.12240,53997.21887,1466,38,1036,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/11/2015,358183.77400,391310.32070,10204,35,-33127,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/11/2016,97946.78305,93112.60891,2281,43,4834,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/12/2014,369350.98950,402564.67860,9654,38,-33214,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/12/2015,185422.88560,191390.40130,5014,37,-5968,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/2/2014,138291.63330,141027.43450,4259,32,-2736,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/2/2015,358597.42850,382447.08040,9505,38,-23850,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/2/2016,172541.50790,150538.98370,4105,42,22003,0,5,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/3/2014,164663.96760,168975.17400,5056,33,-4311,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/3/2015,117446.83910,116681.14160,2853,41,766,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/3/2016,37155.58848,34962.83050,883,42,2193,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/4/2014,166393.54070,170061.86410,4990,33,-3668,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/4/2015,83137.43243,82700.35417,2019,41,437,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/4/2016,124431.04640,132889.05690,3534,35,-8458,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/5/2014,146166.60110,157693.18930,4503,32,-11527,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/5/2015,166403.12700,179221.57230,4410,38,-12818,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/5/2016,79840.08825,69078.71414,1898,42,10761,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/6/2014,468701.63020,486180.54440,14585,32,-17479,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/6/2015,185109.52310,178347.36940,4404,42,6762,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/6/2016,130067.27560,134950.56650,3707,35,-4883,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/7/2014,49705.23200,48370.30899,1419,35,1335,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/7/2015,63331.33100,64690.05907,1610,39,-1359,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/7/2016,33225.67047,28489.08140,790,42,4737,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/8/2014,197698.11860,205114.12890,6092,32,-7416,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/8/2015,39463.40906,41414.41837,1035,38,-1951,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/8/2016,266271.03910,281658.41830,7771,34,-15387,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
13/9/2014,171724.82880,168652.20360,4901,35,3073,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/9/2015,32479.79639,30763.68812,829,39,1716,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
13/9/2016,30424.72626,27398.58813,755,40,3026,0,4,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/1/2014,80090.80008,78096.76018,2348,34,1994,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/1/2015,59553.38603,60703.35603,1446,41,-1150,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/1/2016,61685.93524,57191.43932,1499,41,4494,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/10/2014,69570.50147,66313.94098,1894,37,3257,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/10/2015,42195.81736,40869.24947,1070,39,1327,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/10/2016,69440.92880,62070.75118,1618,43,7370,0,5,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/11/2014,149808.16590,146994.89550,3984,38,2813,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/11/2015,377937.13870,413010.22900,10769,35,-35073,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/11/2016,87834.25368,83068.26903,2046,43,4766,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/12/2014,177500.10770,192327.32070,4632,38,-14827,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/12/2015,173833.13320,179871.05330,4715,37,-6038,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/2/2014,336901.37170,343519.87550,10381,32,-6619,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/2/2015,424009.88250,451548.02760,11237,38,-27538,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/2/2016,87991.66300,76378.50464,2094,42,11613,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/3/2014,395941.34510,406765.91400,12167,33,-10825,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/3/2015,150591.54790,149573.82760,3657,41,1018,0,0,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/3/2016,45046.51321,42368.04535,1071,42,2678,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/4/2014,193652.32780,198212.06870,5810,33,-4560,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/4/2015,40776.02706,39940.19958,979,42,836,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/4/2016,162166.83600,172225.65270,4601,35,-10059,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/5/2014,201120.72760,218098.76190,6253,32,-16978,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/5/2015,149178.60150,160620.20710,3952,38,-11442,0,-3,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/5/2016,82484.44829,71426.01164,1961,42,11058,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/6/2014,473425.75420,492135.29230,14745,32,-18710,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/6/2015,83779.54401,80659.82181,1992,42,3120,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/6/2016,107168.66110,111173.15850,3054,35,-4004,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/7/2014,75384.57455,73393.44659,2151,35,1991,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/7/2015,51241.02855,52509.91622,1307,39,-1269,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/7/2016,30423.39146,26053.79672,723,42,4370,0,6,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/8/2014,177908.83560,184687.52910,5485,32,-6779,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/8/2015,85794.09690,89898.89423,2247,38,-4105,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/8/2016,123084.03910,129601.52720,3576,34,-6517,0,-2,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
14/9/2014,86435.69883,84948.37458,2467,35,1487,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/9/2015,52160.18393,49656.00775,1329,39,2504,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
14/9/2016,20495.11303,18375.05261,508,40,2120,0,4,186909828,37,LOWEST SALES DAY,REGULAR PERIOD,PROFIT
15/1/2014,98945.37116,97159.00259,2903,34,1786,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
15/1/2015,79080.75696,80337.74831,1921,41,-1257,0,-1,186909828,37,NORMAL SALES,REGULAR PERIOD,LOSS
15/1/2016,150006.92980,139244.89580,3648,41,10762,0,3,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
15/10/2014,130476.35530,124398.43160,3548,37,6078,0,2,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
15/10/2015,53490.79747,51799.16590,1357,39,1692,0,1,186909828,37,NORMAL SALES,REGULAR PERIOD,PROFIT
